"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"V1","integer",71,0,2,0.309859154929577,0,0,NA,0.465726752990103,NA,0,1,1,0.805033439867654,1.41330781002958,-1.3706335323078,-1.21831664969687,NA,NA
"V2","integer",71,0,2,0.323943661971831,0,0,NA,0.471309661242674,NA,0,1,1,0.736571666439928,1.29311707722003,-1.47768228066091,-1.31346919731345,NA,NA
"V3","integer",71,0,2,0.112676056338028,0,0,NA,0.318446935460565,NA,0,1,1,2.39831905618775,4.21046242949876,3.80613414445991,3.38316296068401,NA,NA
"V4","integer",71,0,2,0.267605633802817,0,0,NA,0.445861813277652,NA,0,1,1,1.02776779390711,1.80433778038412,-0.956573907721867,-0.850270981245357,NA,NA
"V5","integer",71,0,2,0.23943661971831,0,0,NA,0.42977697646219,NA,0,1,1,1.19547340870532,2.09875990428878,-0.578397445954066,-0.5141208221876,NA,NA
"V6","integer",71,0,2,0.295774647887324,0,0,NA,0.459638559776922,NA,0,1,1,0.876118569340045,1.53810407771854,-1.24942141109569,-1.11057468808795,NA,NA
"V7","integer",71,0,2,0.0845070422535211,0,0,NA,0.28012644457405,NA,0,1,1,2.92468599228449,5.13454640525158,6.6480144863402,5.90922850289303,NA,NA
"V8","integer",71,0,2,0.183098591549296,0,0,NA,0.389500014851626,NA,0,1,1,1.60430293411258,2.8164965008254,0.582585662290696,0.517843606998546,NA,NA
"V9","integer",71,0,2,0.197183098591549,0,0,NA,0.400703606524436,NA,0,1,1,1.49013819574815,2.61607014786923,0.224262799430643,0.199340739894159,NA,NA
"V10","integer",71,0,2,0.169014084507042,0,0,NA,0.377431753261727,NA,0,1,1,1.72918223872395,3.03573322787033,1.0048158770399,0.893151877596524,NA,NA
"V11","integer",71,0,2,0.267605633802817,0,0,NA,0.445861813277652,NA,0,1,1,1.02776779390711,1.80433778038411,-0.956573907721867,-0.850270981245357,NA,NA
"V12","integer",71,0,2,0.28169014084507,0,0,NA,0.453024710507032,NA,0,1,1,0.950213387545127,1.66818412168439,-1.11216650913489,-0.988572760971968,NA,NA
"V13","integer",71,0,2,0.47887323943662,0,0,NA,0.503109046105953,NA,0,1,1,0.0828019321722107,0.145366157017978,-2.02101653563198,-1.79642335944265,NA,NA
"V14","integer",71,0,2,0.225352112676056,0,0,NA,0.42078780192096,NA,0,1,1,1.28701262719423,2.25946514460234,-0.347906259580537,-0.309243848621633,NA,NA
"V15","integer",71,0,2,0.28169014084507,0,0,NA,0.453024710507032,NA,0,1,1,0.950213387545127,1.66818412168439,-1.1121665091349,-0.98857276097197,NA,NA
"V16","integer",71,0,2,0.28169014084507,0,0,NA,0.453024710507032,NA,0,1,1,0.950213387545127,1.66818412168439,-1.1121665091349,-0.98857276097197,NA,NA
"V17","integer",71,0,2,0.366197183098592,0,0,NA,0.485193234545881,NA,0,1,1,0.543776214472389,0.954647512466674,-1.72805388972816,-1.53601730572316,NA,NA
"V18","integer",71,0,2,0.154929577464789,0,0,NA,0.364412926066166,NA,0,1,1,1.86716908980978,3.27798141864493,1.50815434648008,1.34055493851492,NA,NA
"V19","integer",71,0,2,0.154929577464789,0,0,NA,0.364412926066165,NA,0,1,1,1.86716908980979,3.27798141864494,1.50815434648009,1.34055493851493,NA,NA
"V20","integer",71,0,2,0.309859154929577,0,0,NA,0.465726752990103,NA,0,1,1,0.805033439867655,1.41330781002958,-1.3706335323078,-1.21831664969687,NA,NA
"V21","integer",71,0,2,0.309859154929577,0,0,NA,0.465726752990103,NA,0,1,1,0.805033439867656,1.41330781002958,-1.3706335323078,-1.21831664969687,NA,NA
"V22","integer",71,0,2,0.323943661971831,0,0,NA,0.471309661242674,NA,0,1,1,0.73657166643993,1.29311707722004,-1.4776822806609,-1.31346919731344,NA,NA
"V23","integer",71,0,2,0.112676056338028,0,0,NA,0.318446935460565,NA,0,1,1,2.39831905618775,4.21046242949875,3.80613414445988,3.38316296068399,NA,NA
"V24","integer",71,0,2,0.366197183098592,0,0,NA,0.485193234545881,NA,0,1,1,0.543776214472391,0.954647512466676,-1.72805388972816,-1.53601730572316,NA,NA
"V25","integer",71,0,2,0.140845070422535,0,0,NA,0.350337577931723,NA,0,1,1,2.02145834045573,3.54884992191776,2.11669880748355,1.88147257364166,NA,NA
"V26","integer",71,0,2,0.52112676056338,1,1,NA,0.503109046105953,NA,0,1,1,-0.0828019321722105,-0.145366157017978,-2.02101653563198,-1.79642335944265,NA,NA
"V27","integer",71,0,2,0.126760563380282,0,0,NA,0.335072591912718,NA,0,1,1,2.19643475490264,3.85603658133086,2.8652739294061,2.54685942803411,NA,NA
"V28","integer",71,0,2,0.309859154929577,0,0,NA,0.465726752990103,NA,0,1,1,0.805033439867655,1.41330781002958,-1.3706335323078,-1.21831664969687,NA,NA
"V29","integer",71,0,2,0.23943661971831,0,0,NA,0.42977697646219,NA,0,1,1,1.19547340870532,2.09875990428878,-0.57839744595407,-0.514120822187603,NA,NA
"V30","integer",71,0,2,0.28169014084507,0,0,NA,0.453024710507032,NA,0,1,1,0.950213387545127,1.66818412168439,-1.1121665091349,-0.988572760971971,NA,NA
"V31","integer",71,0,2,0.211267605633803,0,0,NA,0.411113225896519,NA,0,1,1,1.38485323746832,2.43123303869276,-0.0827547444290126,-0.0735583076021182,NA,NA
"V32","integer",71,0,2,0.267605633802817,0,0,NA,0.445861813277652,NA,0,1,1,1.02776779390711,1.80433778038411,-0.956573907721867,-0.850270981245357,NA,NA
"V33","integer",71,0,2,0.0985915492957746,0,0,NA,0.300234650016321,NA,0,1,1,2.63630337492324,4.62826506933535,5.02141192223766,4.46338835702339,NA,NA
"V34","integer",71,0,2,0.352112676056338,0,0,NA,0.48102840870356,NA,0,1,1,0.606219513234491,1.06427227766773,-1.65521851254496,-1.47127603782215,NA,NA
"V35","integer",71,0,2,0.183098591549296,0,0,NA,0.389500014851626,NA,0,1,1,1.60430293411259,2.8164965008254,0.582585662290696,0.517843606998546,NA,NA
"V36","integer",71,0,2,0.140845070422535,0,0,NA,0.350337577931723,NA,0,1,1,2.02145834045573,3.54884992191776,2.11669880748355,1.88147257364166,NA,NA
"V37","integer",71,0,2,0.0563380281690141,0,0,NA,0.232214429455805,NA,0,1,1,3.76732154577501,6.61386807038952,12.3674940117899,10.9931090363885,NA,NA
"V38","integer",71,0,2,0.23943661971831,0,0,NA,0.42977697646219,NA,0,1,1,1.19547340870532,2.09875990428878,-0.578397445954068,-0.514120822187602,NA,NA
"V39","integer",71,0,2,0.23943661971831,0,0,NA,0.42977697646219,NA,0,1,1,1.19547340870532,2.09875990428878,-0.578397445954068,-0.514120822187602,NA,NA
"V40","integer",71,0,2,0.352112676056338,0,0,NA,0.48102840870356,NA,0,1,1,0.606219513234492,1.06427227766773,-1.65521851254496,-1.47127603782215,NA,NA
"V41","integer",71,0,2,0.309859154929577,0,0,NA,0.465726752990103,NA,0,1,1,0.805033439867655,1.41330781002958,-1.3706335323078,-1.21831664969687,NA,NA
"V42","integer",71,0,2,0.0563380281690141,0,0,NA,0.232214429455805,NA,0,1,1,3.76732154577501,6.61386807038952,12.3674940117899,10.9931090363884,NA,NA
"V43","integer",71,0,2,0.140845070422535,0,0,NA,0.350337577931723,NA,0,1,1,2.02145834045573,3.54884992191776,2.11669880748355,1.88147257364166,NA,NA
"V44","integer",71,0,1,0,0,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA
"V45","integer",71,0,2,0.112676056338028,0,0,NA,0.318446935460565,NA,0,1,1,2.39831905618774,4.21046242949875,3.80613414445989,3.38316296068399,NA,NA
"V46","integer",71,0,2,0.126760563380282,0,0,NA,0.335072591912718,NA,0,1,1,2.19643475490264,3.85603658133086,2.86527392940609,2.5468594280341,NA,NA
"V47","integer",71,0,2,0.0140845070422535,0,0,NA,0.118678165819385,NA,0,1,1,8.07345832264271,14.1736742056517,64.0839119222377,56.9623426191185,NA,NA
"V48","integer",71,0,2,0.0563380281690141,0,0,NA,0.232214429455805,NA,0,1,1,3.76732154577501,6.61386807038952,12.3674940117899,10.9931090363884,NA,NA
"V49","integer",71,0,2,0.126760563380282,0,0,NA,0.335072591912718,NA,0,1,1,2.19643475490264,3.85603658133087,2.86527392940611,2.54685942803412,NA,NA
"V50","integer",71,0,2,0.154929577464789,0,0,NA,0.364412926066166,NA,0,1,1,1.86716908980978,3.27798141864493,1.50815434648008,1.34055493851492,NA,NA
"V51","integer",71,0,2,0.028169014084507,0,0,NA,0.166633128751715,NA,0,1,1,5.58334927221759,9.80206627670687,29.5911582990493,26.3027278917114,NA,NA
"V52","integer",71,0,2,0.183098591549296,0,0,NA,0.389500014851626,NA,0,1,1,1.60430293411259,2.8164965008254,0.582585662290702,0.517843606998552,NA,NA
"V53","integer",71,0,2,0.0563380281690141,0,0,NA,0.232214429455805,NA,0,1,1,3.76732154577501,6.61386807038951,12.3674940117899,10.9931090363884,NA,NA
"V54","integer",71,0,2,0.126760563380282,0,0,NA,0.335072591912718,NA,0,1,1,2.19643475490264,3.85603658133087,2.86527392940611,2.54685942803412,NA,NA
"V55","integer",71,0,2,0.112676056338028,0,0,NA,0.318446935460565,NA,0,1,1,2.39831905618774,4.21046242949875,3.80613414445987,3.38316296068398,NA,NA
"V56","integer",71,0,2,0.140845070422535,0,0,NA,0.350337577931723,NA,0,1,1,2.02145834045573,3.54884992191776,2.11669880748355,1.88147257364166,NA,NA
"V57","integer",71,0,2,0.154929577464789,0,0,NA,0.364412926066166,NA,0,1,1,1.86716908980978,3.27798141864493,1.50815434648008,1.34055493851492,NA,NA
"V58","integer",71,0,2,0.0563380281690141,0,0,NA,0.232214429455805,NA,0,1,1,3.76732154577501,6.61386807038952,12.3674940117899,10.9931090363885,NA,NA
"V59","integer",71,0,2,0.028169014084507,0,0,NA,0.166633128751715,NA,0,1,1,5.58334927221758,9.80206627670687,29.5911582990493,26.3027278917114,NA,NA
"V60","integer",71,0,2,0.0985915492957746,0,0,NA,0.300234650016321,NA,0,1,1,2.63630337492324,4.62826506933534,5.02141192223766,4.46338835702339,NA,NA
"V61","integer",71,0,2,0.0140845070422535,0,0,NA,0.118678165819385,NA,0,1,1,8.0734583226427,14.1736742056517,64.0839119222377,56.9623426191185,NA,NA
"V62","integer",71,0,2,0.0563380281690141,0,0,NA,0.232214429455805,NA,0,1,1,3.76732154577501,6.61386807038952,12.3674940117899,10.9931090363885,NA,NA
"V63","integer",71,0,2,0.028169014084507,0,0,NA,0.166633128751715,NA,0,1,1,5.58334927221759,9.80206627670688,29.5911582990494,26.3027278917115,NA,NA
"V64","integer",71,0,2,0.140845070422535,0,0,NA,0.350337577931723,NA,0,1,1,2.02145834045573,3.54884992191776,2.11669880748356,1.88147257364166,NA,NA
"V65","integer",71,0,2,0.0985915492957746,0,0,NA,0.300234650016321,NA,0,1,1,2.63630337492324,4.62826506933535,5.02141192223765,4.46338835702338,NA,NA
"V66","integer",71,0,2,0.028169014084507,0,0,NA,0.166633128751715,NA,0,1,1,5.58334927221759,9.80206627670688,29.5911582990493,26.3027278917114,NA,NA
"V67","integer",71,0,2,0.0422535211267606,0,0,NA,0.202598809636177,NA,0,1,1,4.45510362255747,7.82133068321566,18.1035197653749,16.0916970352652,NA,NA
"V68","integer",71,0,2,0.0704225352112676,0,0,NA,0.257678851173418,NA,0,1,1,3.28724748680045,5.77105535809661,8.9323967707225,7.93975008706111,NA,NA
"V69","integer",71,0,2,0.0422535211267606,0,0,NA,0.202598809636177,NA,0,1,1,4.45510362255747,7.82133068321566,18.1035197653749,16.0916970352652,NA,NA
"V70","integer",71,0,2,0.0704225352112676,0,0,NA,0.257678851173418,NA,0,1,1,3.28724748680045,5.77105535809661,8.93239677072249,7.9397500870611,NA,NA
"V71","integer",71,0,2,0.028169014084507,0,0,NA,0.166633128751715,NA,0,1,1,5.58334927221759,9.80206627670688,29.5911582990493,26.3027278917114,NA,NA
